BILL DATE,CUSTOMER,mat,QUANTITY,region,MATERIAL description
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
04-08-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
27-06-2022,GMI COMMODITIES AB,SILICO MANGANESE  Mn 65% to 70%,28,SWEDEN,SILICO MANGANESE Mn 65% to 70%
05-07-2022,GRETA METAL PTE LTD,SILICO MANGANESE  Mn 65% to 70%,27,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
05-07-2022,GRETA METAL PTE LTD,SILICO MANGANESE  Mn 65% to 70%,27,SINGAPORE,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
12-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
10-03-2023,HANWA CO LTD,SILICO MANGANESE  Mn 65% to 70%,21,TOKYO,SILICO MANGANESE Mn 65% to 70%
